Make,Models
Dodge,"['Ram 1500 Crew Cab' 'Grand Caravan Passenger' 'Dakota Regular Cab'
 'Avenger' 'Durango' 'Dakota Quad Cab' 'Ram 3500 Regular Cab'
 'Ram Van 1500' 'Ram 1500 Mega Cab' 'Viper' 'Grand Caravan Cargo'
 'Stealth' 'Dynasty' 'Ram Wagon 3500' 'Caravan Passenger'
 'Ram 1500 Regular Cab' 'Spirit' 'Caravan Cargo' 'Charger' 'Stratus'
 'Neon' 'Intrepid' 'Ram 2500 Quad Cab' 'Ram Van B150' 'Ram 1500 Club Cab'
 'Ram 3500 Quad Cab' 'Ram 1500 Quad Cab' 'Ram Van 2500' 'Ramcharger'
 'D250 Club Cab' 'D150 Regular Cab' 'Ram 3500 Club Cab' 'Dakota Club Cab'
 'Ram 2500 Mega Cab' 'Challenger' 'Sprinter 3500 Cargo' 'Ram Wagon 2500'
 'Sprinter 2500 Cargo' 'Nitro' 'Ram Van 3500' 'Ram 50 Regular Cab'
 'Journey' 'Ram 3500 Mega Cab' 'Sprinter 2500 Passenger' 'Ram Van B250'
 'Caliber' 'Colt' 'Ram 2500 Regular Cab' 'Ram 2500 Club Cab' 'Dart'
 'Ram Wagon B150' 'D350 Club Cab' 'Ram Wagon B350' 'D250 Regular Cab'
 'Daytona' 'D150 Club Cab' 'Ram 2500 Crew Cab' 'D350 Regular Cab'
 'Ram Wagon 1500' 'Shadow' 'Dakota Extended Cab' 'Magnum'
 'Dakota Crew Cab' 'Ram Van B350' 'Ram Wagon B250' 'Ram 3500 Crew Cab'
 'Monaco']"
Eagle,['Vision' 'Summit' 'Talon' 'Premier']
FIAT,['500e' '500X' '500' '500L' '124 Spider' '500c Abarth' '500 Abarth' '500c']
Ferrari,"['599 GTB Fiorano' 'FF' 'F12berlinetta' '488 GTB' 'F430' 'California'
 'GTC4Lusso' '488 Spider' '812 Superfast' '458 Speciale' '458 Spider'
 '612 Scaglietti' '458 Italia' '430 Scuderia' '599 GTO' 'Portofino']"
Fisker,['Karma']
Ford,"['Mustang' 'Taurus' 'Crown Victoria' 'Club Wagon' 'F150 Super Cab' 'Flex'
 'F150 Regular Cab' 'E150 Cargo' 'Focus' 'Expedition' 'Ranger Super Cab'
 'F250 Super Duty Regular Cab' 'F250 Super Duty Super Cab'
 'F450 Super Duty Crew Cab' 'F350 Super Cab' 'Escape' 'Escort'
 'Econoline E350 Super Duty Passenger' 'Edge' 'Ranger SuperCrew'
 'Transit 250 Van' 'E250 Super Duty Cargo' 'Thunderbird' 'EcoSport'
 'C-MAX Hybrid' 'Fiesta' 'Aerostar Cargo' 'Transit Connect Passenger' 'GT'
 'Transit 150 Van' 'F350 Super Duty Regular Cab'
 'E350 Super Duty Passenger' 'F350 Super Duty Crew Cab'
 'Econoline E350 Cargo' 'Fusion Energi' 'Windstar Cargo'
 'F250 Super Duty Crew Cab' 'Explorer Sport Trac' 'F150 SuperCrew Cab'
 'Contour' 'Econoline E150 Cargo' 'F350 Super Duty Super Cab' 'Explorer'
 'Transit Connect Cargo' 'Transit 150 Wagon'
 'Econoline E350 Super Duty Cargo' 'E350 Super Duty Cargo'
 'Freestar Cargo' 'Windstar Passenger' 'Freestar Passenger'
 'F250 Regular Cab' 'Ranger Regular Cab' 'E150 Passenger'
 'Transit 350 Van' 'Transit 350 Wagon' 'Transit 350 HD Van'
 'F350 Crew Cab' 'Transit Connect Cargo Van' 'Econoline E250 Cargo' 'ZX2'
 'Probe' 'Excursion' 'Fusion' 'E150 Super Duty Cargo' 'Aspire' 'Freestyle'
 'E150 Super Duty Passenger' 'C-MAX Energi' 'F150 (Heritage) Super Cab'
 'Tempo' 'F250 Super Cab' 'Expedition EL' 'Bronco' 'Aerostar Passenger'
 'E250 Cargo' 'F350 Regular Cab' 'Five Hundred' 'Focus ST'
 'Explorer Sport' 'Expedition MAX' 'Festiva' 'Bronco Sport'
 'Econoline E150 Passenger' 'Taurus X' 'Ranger SuperCab'
 'F150 (Heritage) Regular Cab' 'F250 Crew Cab']"
Freightliner,"['Sprinter 2500 Cargo' 'Sprinter WORKER Cargo' 'Sprinter 2500 Passenger'
 'Sprinter 2500 Crew' 'Sprinter 3500XD Cargo' 'Sprinter 3500 Cargo'
 'Sprinter WORKER Passenger']"
GMC,"['Savana 1500 Passenger' 'Sierra 2500 HD Extended Cab' 'Safari Passenger'
 'Terrain' 'Sierra 1500 Regular Cab' 'Sonoma Crew Cab' 'Yukon'
 'Savana 3500 Passenger' 'Sierra 2500 HD Crew Cab' 'Acadia'
 'Rally Wagon 3500' 'Sierra 3500 HD Regular Cab' '2500 Club Coupe'
 'Sierra 1500 Crew Cab' 'Sierra 3500 HD Crew Cab' '1500 Regular Cab'
 '1500 Club Coupe' 'Vandura 3500' 'Yukon XL 1500'
 'Sierra 3500 Regular Cab' 'Savana 3500 Cargo'
 'Sierra 3500 HD Extended Cab' 'Yukon XL' 'Yukon XL 2500'
 'Savana 1500 Cargo' 'Safari Cargo' 'Savana 2500 Passenger'
 'Canyon Crew Cab' 'Sierra 2500 HD Regular Cab'
 'Sierra 3500 HD Double Cab' 'Envoy XL' 'Sonoma Club Coupe Cab'
 'Acadia Limited' 'Sierra 2500 HD Double Cab' 'Sonoma Regular Cab'
 '3500 Crew Cab' 'Suburban 2500' 'Sierra 1500 HD Crew Cab'
 'Canyon Extended Cab' 'Canyon Regular Cab' '3500 Regular Cab'
 'Sierra 2500 Regular Cab' 'Vandura 1500' '2500 HD Regular Cab'
 '2500 Regular Cab' 'Envoy' '3500 Club Coupe' 'Sierra 3500 Extended Cab'
 'Suburban 1500' 'Savana 2500 Cargo' 'Sierra (Classic) 3500 Extended Cab'
 'Sierra 2500 Crew Cab' 'Sierra 1500 Double Cab' 'Hummer EV'
 'Rally Wagon 2500' 'Envoy XUV' 'Vandura G1500' '3500 Extended Cab'
 'Jimmy' 'Vandura G3500' 'Vandura 2500' 'Sierra 2500 Extended Cab'
 'Sierra 3500 Crew Cab' 'Sierra 1500 Extended Cab'
 'Sierra (Classic) 2500 HD Extended Cab' 'Sierra 1500 Limited Double Cab'
 'Sierra (Classic) 3500 Regular Cab' '2500 Crew Cab' 'Sonoma Extended Cab'
 'Sierra (Classic) 2500 Crew Cab' 'Sierra (Classic) 1500 Extended Cab'
 'Sierra (Classic) 3500 Crew Cab' 'Rally Wagon G3500'
 '2500 HD Extended Cab' 'Rally Wagon 1500'
 'Sierra (Classic) 2500 HD Regular Cab' 'Vandura G2500'
 'Sierra (Classic) 1500 Crew Cab' 'Sierra (Classic) 1500 HD Crew Cab'
 'Sierra (Classic) 1500 Regular Cab' 'Rally Wagon G2500'
 'Sierra (Classic) 2500 HD Crew Cab' '2500 HD Club Coupe'
 'Sonoma Club Cab' 'Yukon Denali']"
Genesis,['G90' 'G80' 'GV80' 'G70']
Geo,['Tracker' 'Metro' 'Storm' 'Prizm']
